Time, Errors, Limiters, Current SP, Velocity SP, Idc SP, misc SP, Bus Voltage (V), Bus Current (A), Velocity (m/s), Motor RPM, pC Current (A), pB Current (A), Odometer (m), Bus Charge (Ah), BEMF (V), VoutD (V), VoutQ (V), IoutD (A), IoutQ (A), 15V Rail (V), 1.9V Rail (V), 3.3V Rail (V), Motor Temp (C), DSP Temp (C), Phase A Temp (C), Phase B Temp (C), Phase C Temp (C), CAN Trans Errs, CAN Recv Errs, Slip Speed (Hz)
10:08:29, 0x40, 0x0, 0.753898, 4000.000000, 1.000000, 0.000000, 146.663452, 0.000000, 22.391779, 791.947144, 0.000000, 0.000000, 10862.332031, 2.130776, 54.590164, 7.311970, 54.008366, 0.000000, 0.000000, 14.945407, 1.854714, 3.315830, 23.007744, 32.944115, 0.000000, 0.000000, 31.965149, 0, 0, 99.999992
10:08:29, 0x40, 0x0, 0.753898, 4000.000000, 1.000000, 0.000000, 146.693527, 0.000000, 22.296591, 788.580566, 0.000000, 0.000000, 10862.332031, 2.130776, 54.312229, 7.247865, 53.813606, 0.000000, 0.000000, 14.945407, 1.854714, 3.315830, 23.007744, 32.944115, 0.000000, 0.000000, 31.965149, 0, 0, 99.999992
10:08:29, 0x40, 0x0, 0.753898, 4000.000000, 1.000000, 0.000000, 146.719208, 0.000000, 22.228392, 786.168518, 0.000000, 0.000000, 10884.696289, 2.130776, 54.172306, 7.277637, 53.728073, 0.000000, 0.000000, 14.945793, 1.854696, 3.315996, 23.007744, 32.866402, 0.000000, 0.000000, 31.954453, 0, 0, 99.999992
10:08:29, 0x40, 0x0, 0.753898, 4000.000000, 1.000000, 0.000000, 146.743805, 0.000000, 22.211800, 785.581665, 0.000000, 0.000000, 10884.696289, 2.130776, 54.136574, 7.211745, 53.642540, 0.000000, 0.000000, 14.945793, 1.854696, 3.315996, 23.007744, 32.866402, 0.000000, 0.000000, 31.954453, 0, 0, 99.999992
10:08:30, 0x40, 0x0, 0.753898, 4000.000000, 1.000000, 0.000000, 146.764191, 0.000000, 22.140051, 783.044128, 0.000000, 0.000000, 10884.696289, 2.130776, 53.982079, 7.274091, 53.582966, 0.000000, 0.000000, 14.945793, 1.854696, 3.315996, 23.007744, 32.866402, 0.000000, 0.000000, 31.954453, 0, 0, 99.999992
10:08:30, 0x40, 0x0, 0.753898, 4000.000000, 1.000000, 0.000000, 146.793839, 0.000000, 22.130291, 782.698914, 0.000000, 0.000000, 10884.696289, 2.130776, 53.991524, 7.141322, 53.402901, 0.000000, 0.000000, 14.945793, 1.854696, 3.315996, 23.007744, 32.866402, 0.000000, 0.000000, 31.954453, 0, 0, 99.999992
10:08:30, 0x40, 0x0, 0.753898, 4000.000000, 1.000000, 0.000000, 146.798904, 0.000000, 22.026644, 779.033142, 0.000000, 0.000000, 10884.696289, 2.130776, 53.657650, 7.079542, 53.208828, 0.000000, 0.000000, 14.945793, 1.854696, 3.315996, 23.007744, 32.866402, 0.000000, 0.000000, 31.954453, 0, 0, 99.999992
10:08:30, 0x40, 0x0, 0.753898, 4000.000000, 1.000000, 0.000000, 146.808624, 0.000000, 21.968786, 776.986877, 0.000000, 0.000000, 10906.793945, 2.130776, 53.521633, 7.026702, 53.050877, 0.000000, 0.000000, 14.945669, 1.854630, 3.316087, 23.007744, 32.877502, 0.000000, 0.000000, 31.933060, 0, 0, 99.999992
10:08:30, 0x40, 0x0, 0.753898, 4000.000000, 1.000000, 0.000000, 146.830170, 0.000000, 21.929234, 775.587891, 0.000000, 0.000000, 10906.793945, 2.130776, 53.443314, 7.016599, 52.991360, 0.000000, 0.000000, 14.945669, 1.854630, 3.316087, 23.007744, 32.877502, 0.000000, 0.000000, 31.933060, 0, 0, 99.999992
10:08:31, 0x40, 0x0, 0.000000, 0.000000, 1.000000, 0.000000, 146.838684, 0.000000, 21.853378, 772.905090, 0.000000, 0.000000, 10906.793945, 2.130776, 53.218899, 6.971448, 52.826107, 0.000000, 0.000000, 14.945669, 1.854630, 3.316087, 23.007744, 32.877502, 0.000000, 0.000000, 31.933060, 0, 0, 99.999992
